episode,environment_steps,learning_steps,epsilon,mean_loss,train_return,selection_value,best_episode,validation_cumulative_return,validation_mdd,validation_sharpe_ratio,validation_sortino_ratio,validation_trade_count,validation_turnover,validation_initial_asset,validation_final_asset,validation_steps,validation_average_holding_days,validation_closed_shares,validation_open_shares
1,1093,838,0.9196113072998547,1.9224937225203303e-05,-0.2458121132500023,0.17134921599999964,1,0.17134921599999964,0.10562419060953021,1.0440593980382344,1.7088153320371973,158,104.80358642847087,10000000.0,11713492.159999996,245,2.914282363977486,8528,149
2,2186,1931,0.8243915699942728,2.0993709438004738e-05,-0.34267399175000135,0.052397982500000495,1,0.052397982500000495,0.1121113733697453,0.5046292193857926,0.8101157459509162,153,95.7484021374315,10000000.0,10523979.825000005,245,1.9752750984920526,7361,134
3,3279,3024,0.7390312138213185,2.56746828974232e-05,-0.07819358924999831,0.11596999899999938,1,0.11596999899999938,0.13320241975141345,0.779050764284222,1.2281599835401367,150,76.9626787591798,10000000.0,11159699.989999995,245,4.417764763299171,6147,142
4,4372,4117,0.6625093643376373,2.551142643663681e-05,0.2709274147499996,-0.029607820999998924,1,-0.029607820999998924,0.134581812543632,-0.29860718108547796,-0.4152994353132983,140,81.22482865781554,10000000.0,9703921.79000001,245,1.8034410844629822,5754,62
5,5465,5210,0.593910851972728,2.4434479521225092e-05,1.1228994547500015,0.06432290549999986,1,0.06432290549999986,0.10458101401402775,0.5067799959919225,0.8270633363684121,132,94.73291386990653,10000000.0,10643229.054999998,245,2.6548871126069273,7131,135
6,6558,6303,0.5324152669806039,2.5403603694981707e-05,2.005569420249999,0.029056548999999432,1,0.029056548999999432,0.07332090078616815,0.31063885541322545,0.5298945988101139,123,91.64161749736994,10000000.0,10290565.489999995,245,1.6502903081732916,6717,131
7,7651,7396,0.47728714767960456,2.7455244907064952e-05,2.8821274417500002,0.17525921849999948,7,0.17525921849999948,0.09004068901135809,1.2404871025705786,2.142950815930941,142,94.77081819396756,10000000.0,11752592.184999995,245,2.418888144675151,7465,0
8,8744,8489,0.4278671846358451,2.671343477277624e-05,7.262236933749993,-0.05764527449999912,7,-0.05764527449999912,0.17765998860112742,-0.3598284060005259,-0.49160586688858643,139,103.62879851203358,10000000.0,9423547.255000008,245,2.629250797024442,7528,120
9,9837,9582,0.3835643355959305,3.298220971218062e-05,9.696259545749996,-0.014583095499999477,7,-0.014583095499999477,0.13230056837041226,-0.042201621231936846,-0.06108482765618109,140,90.73977373973247,10000000.0,9854169.045000006,245,2.8254387327224726,6439,125
10,10930,10675,0.3438487568668338,3.286137217498476e-05,11.638490244749994,0.04200019949999856,7,0.04200019949999856,0.12547346036306883,0.3560170778984828,0.5207631229980308,125,92.68579465891345,10000000.0,10420001.994999986,245,2.917740767559739,6905,132
11,12023,11768,0.30824546660516344,3.303728162924368e-05,13.682241773499996,0.126198972499999,7,0.126198972499999,0.07320990237255542,0.894699933712808,1.4022449097466745,163,97.30618039603723,10000000.0,11261989.72499999,245,2.645212554628526,7551,72
12,13116,12861,0.2763286642313854,3.657992630135405e-05,22.960347499249995,0.1327304695,7,0.1327304695,0.07651654787987117,0.9257126443670756,1.5448921318163285,121,102.70823582017243,10000000.0,11327304.695,245,2.420712384332615,7889,0
13,14209,13954,0.24771663803156424,3.7393127969908005e-05,26.664420057499992,0.03678364099999909,7,0.03678364099999909,0.11918080406428544,0.29906921454922203,0.47908677079709483,115,104.62289891346047,10000000.0,10367836.40999999,245,2.8481729284611426,7772,0
14,15302,15047,0.2220672000436339,4.4495615117946555e-05,21.539610991000007,0.15799038150000033,7,0.15799038150000033,0.08826055184725634,1.053326771184901,1.7865118480669295,148,106.73157897634778,10000000.0,11579903.815000003,245,2.412495520248477,8371,147
15,16395,16140,0.1990735936313478,4.171131623643521e-05,26.805113844999987,-0.0062087284999996495,7,-0.0062087284999996495,0.1608046861478487,0.02686450637491028,0.04029803164424877,114,111.63563562244605,10000000.0,9937912.715000004,245,1.9682615439685003,8381,0
16,17488,17233,0.1784608248021861,3.901738867521252e-05,49.1554994975,-0.0033208979999999055,7,-0.0033208979999999055,0.12488256129357944,0.04585260113732037,0.06472009917945137,101,99.63467974025441,10000000.0,9966791.020000001,245,2.036381794835212,7009,0
17,18581,18326,0.1599823733933008,3.9430254054700224e-05,53.47839321199998,-0.05619215700000035,7,-0.05619215700000035,0.1589820759922711,-0.31553698901916744,-0.45198474927083276,134,107.62476246300594,10000000.0,9438078.429999996,245,2.3560035727957125,7837,0
18,19674,19419,0.143417244792651,4.0748318784701466e-05,55.76908397400001,-0.03772329499999971,7,-0.03772329499999971,0.21143632070786866,-0.16038036123189084,-0.23498298971954118,107,99.67259075948417,10000000.0,9622767.050000003,245,3.027556896078969,7294,0
19,20767,20512,0.12856732693513406,4.547000313790869e-05,56.222629704000006,0.1262992624999999,7,0.1262992624999999,0.10989752764069272,0.7582259105320527,1.2177801544887983,119,71.42027646527166,10000000.0,11262992.624999998,245,5.406873219373219,5616,72
20,21860,21605,0.11525502096448516,5.1908081251216054e-05,55.61711742075005,0.0552693055000002,7,0.0552693055000002,0.11887706497314587,0.4245470471413211,0.6672986418491431,146,86.37078297666221,10000000.0,10552693.055000002,245,3.692516596258298,6628,67
21,22953,22698,0.10332111722464235,4.3221796007929254e-05,60.80910596699997,0.4017511410000003,21,0.4017511410000003,0.1201345100528809,2.072573565268199,3.7487687891823382,107,100.69311687578988,10000000.0,14017511.410000002,245,2.9005180127148575,8494,178
22,24046,23791,0.09262289117831814,4.0240317828403035e-05,76.80423422575,0.005093971999999836,21,0.005093971999999836,0.12612781533838413,0.10822681229435903,0.16120319504210182,112,109.61829604974972,10000000.0,10050939.719999999,245,2.084140744518103,7844,128
23,25139,24884,0.08303239648074978,4.170170849749897e-05,80.38300737299994,0.12272857550000049,21,0.12272857550000049,0.0890979780939054,0.9270779281070797,1.5070062060956062,111,103.7279457068505,10000000.0,11227285.755000005,245,2.55097266683083,8122,143
24,26232,25977,0.0744349347945029,4.460288103249594e-05,71.6377652255,0.060739080499999876,21,0.060739080499999876,0.1222178973046587,0.4927442015407966,0.7246504923232971,115,96.71781055052514,10000000.0,10607390.804999998,245,2.6984895981761183,7018,135
25,27325,27070,0.06672768404494266,5.3593450873080455e-05,53.13371379525001,0.05341101149999994,21,0.05341101149999994,0.15222036145558637,0.42014016720293146,0.6352102986921997,112,90.75611594347727,10000000.0,10534110.114999998,245,3.1605491329479767,6920,0
26,28418,28163,0.0598184687108847,4.8750823182981035e-05,58.459616338500034,0.014969780000000599,21,0.014969780000000599,0.1534938387098781,0.17729392088210488,0.258497601889806,117,110.60279928978619,10000000.0,10149697.800000006,245,2.54447571271259,8173,129
27,29511,29256,0.05362465744360391,4.399298132245764e-05,62.621528736500075,0.025791171499999654,21,0.025791171499999654,0.1418897676387948,0.2573617256865689,0.39035637679393764,124,116.59395704598239,10000000.0,10257911.714999996,245,1.9886864356317733,8397,0
28,30604,30349,0.05,4.4941243940689624e-05,96.97849130750001,0.1945095065000002,21,0.1945095065000002,0.07135027492703794,1.4378472397067303,2.6632672757081637,121,109.62275438730883,10000000.0,11945095.065000001,245,1.5973336346175573,8851,152
29,31697,31442,0.05,4.237726182876465e-05,64.89942596100002,0.14042961249999997,21,0.14042961249999997,0.14764079547683573,1.0286445345077782,1.6760004068868544,108,101.62692188813509,10000000.0,11404296.125,245,2.3686830015313936,7836,145
30,32790,32535,0.05,4.7354798572941594e-05,65.61473637,0.003404384499999802,21,0.003404384499999802,0.12667044384530002,0.09107027547800141,0.13583021828754085,138,94.72439576133762,10000000.0,10034043.844999997,245,2.2689217758985203,7095,0
31,33883,33628,0.05,5.174394765227087e-05,57.27656671324999,0.16406667499999972,21,0.16406667499999972,0.10349783883689534,1.1208602380616042,1.8540111587599364,139,108.73175324150418,10000000.0,11640666.749999996,245,2.5644392794886692,8605,0
32,34976,34721,0.05,4.608642239554309e-05,44.46000054649999,0.03372756100000052,21,0.03372756100000052,0.15462987511258441,0.35901881815445397,0.5465483549184383,100,99.65476429676244,10000000.0,10337275.610000005,245,2.0271111687637826,7709,0
