best_episode,agent_validation_return,agent_validation_sharpe,agent_validation_mdd,agent_validation_turnover,validation_return_std,bh_validation_return,bh_validation_mdd,bh_validation_turnover,agent_test_return,agent_test_sharpe,agent_test_mdd,agent_test_turnover,bh_test_return,bh_test_sharpe,bh_test_mdd,bh_test_turnover,experiment,seed,fold,validation_start,validation_end,run_dir
1,0.375072437,1.6883317605885,0.0973898644756303,8.982040633342354,0.11253199890036696,0.41385015,0.10075260760720761,0.999,2.0389644844999997,1.0817414224326487,0.4226443931855692,70.90406818730797,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험29_double-dqn-hidden-256-multiseed,1,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험29_double-dqn-hidden-256-multiseed/seed-1_val2023
86,0.0335154409999998,0.2700472325392817,0.1420291163196136,83.84347719772914,0.09978093683979591,-0.3176489710000001,0.4290804340250082,0.99314,0.4228760440000003,0.8163062255036594,0.2186219744890216,150.2954603880956,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험29_double-dqn-hidden-256-multiseed,1,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험29_double-dqn-hidden-256-multiseed/seed-1_val2024
74,1.437352979,2.9887243035018725,0.1682217693997675,48.973371993903505,0.27458198941087353,1.2699305955,0.14644820702986427,0.99603,0.9476590560000008,1.5870601353285918,0.3995105529904157,13.046689303998225,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험29_double-dqn-hidden-256-multiseed,1,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험29_double-dqn-hidden-256-multiseed/seed-1_val2025
9,0.2394931464999998,1.3644162704480969,0.1093812860646784,94.70490230152512,0.08594060178002667,0.41385015,0.10075260760720761,0.999,1.1964419844999998,0.9158289964701348,0.4253139912464863,217.6421838951403,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험29_double-dqn-hidden-256-multiseed,7,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험29_double-dqn-hidden-256-multiseed/seed-7_val2023
74,0.2307845859999993,1.173340661883401,0.0858382461445467,80.73496999917559,0.1108820617151312,-0.3176489710000001,0.4290804340250082,0.99314,1.4930895430000004,1.3264096916674464,0.4143304564363071,103.68052159877163,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험29_double-dqn-hidden-256-multiseed,7,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험29_double-dqn-hidden-256-multiseed/seed-7_val2024
60,0.7348134625000011,2.109656881774443,0.2016573517042417,78.76734627144864,0.2075555060410966,1.2699305955,0.14644820702986427,0.99603,1.1882027649999998,1.7704700786641083,0.4278648487722413,6.978710591513985,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험29_double-dqn-hidden-256-multiseed,7,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험29_double-dqn-hidden-256-multiseed/seed-7_val2025
57,0.4049488024999998,1.8178114763433613,0.095057616088893,37.91267653701309,0.10814026333857844,0.41385015,0.10075260760720761,0.999,-0.0427284880000006,0.0783214404547061,0.4434504746350005,123.96014874917029,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험29_double-dqn-hidden-256-multiseed,21,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험29_double-dqn-hidden-256-multiseed/seed-21_val2023
5,0.1430378230000004,0.7430854979073825,0.1843395929878971,91.86205831637454,0.10487246007423456,-0.3176489710000001,0.4290804340250082,0.99314,1.013138817999998,1.4342419415385803,0.1715221283512618,147.48592418171276,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험29_double-dqn-hidden-256-multiseed,21,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험29_double-dqn-hidden-256-multiseed/seed-21_val2024
50,1.272795486,2.8279046383543807,0.146260271453903,58.89817028984075,0.2957503895771255,1.2699305955,0.14644820702986427,0.99603,1.3548058319999998,1.9202584795007016,0.3738305693947972,8.945763880297928,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험29_double-dqn-hidden-256-multiseed,21,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험29_double-dqn-hidden-256-multiseed/seed-21_val2025
52,0.4139175755000008,2.053986143215372,0.0835085078962959,85.3684025445496,0.12660779941863615,0.41385015,0.10075260760720761,0.999,0.8854012610000006,0.9131909444465032,0.4097973918216718,208.38544560247635,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험29_double-dqn-hidden-256-multiseed,42,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험29_double-dqn-hidden-256-multiseed/seed-42_val2023
