best_episode,agent_validation_return,agent_validation_sharpe,agent_validation_mdd,agent_validation_turnover,validation_return_std,bh_validation_return,bh_validation_mdd,bh_validation_turnover,agent_test_return,agent_test_sharpe,agent_test_mdd,agent_test_turnover,bh_test_return,bh_test_sharpe,bh_test_mdd,bh_test_turnover,experiment,seed,fold,validation_start,validation_end,run_dir
51,0.3985723304999997,1.858232577830988,0.0978376322352315,38.955437633491655,0.10924920455805451,0.41385015,0.10075260760720761,0.999,2.0121379740000003,1.083099041232149,0.4284721714786706,82.06112300611674,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험30_hidden-256-action-5-multiseed,1,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험30_hidden-256-action-5-multiseed/seed-1_val2023
33,-0.0783440134999997,-1.057599486462108,0.1059687529490036,33.164408079728176,0.08428735315496812,-0.3176489710000001,0.4290804340250082,0.99314,0.1185669684999999,0.571845923650793,0.1140108585811652,45.21232628254619,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험30_hidden-256-action-5-multiseed,1,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험30_hidden-256-action-5-multiseed/seed-1_val2024
11,1.1334297969999994,2.745979693381379,0.1231384233282109,43.664124835679154,0.24010598113261292,1.2699305955,0.14644820702986427,0.99603,0.6841060974999997,1.3968451795632764,0.4589299634844895,14.345677305004152,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험30_hidden-256-action-5-multiseed,1,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험30_hidden-256-action-5-multiseed/seed-1_val2025
46,0.3592958830000001,1.617020220888948,0.1140515589562984,16.95680705444792,0.10775067609324436,0.41385015,0.10075260760720761,0.999,0.5285906610000004,0.6131689469107269,0.4300618015310063,38.48677738932198,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험30_hidden-256-action-5-multiseed,7,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험30_hidden-256-action-5-multiseed/seed-7_val2023
62,0.0606416399999998,0.6322323057384658,0.058587379833237,46.31562102385137,0.10783117432329105,-0.3176489710000001,0.4290804340250082,0.99314,0.9672694294999992,1.2635492485869697,0.4027036305318752,64.99610947914618,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험30_hidden-256-action-5-multiseed,7,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험30_hidden-256-action-5-multiseed/seed-7_val2024
93,1.2541312089999996,2.6908435615093387,0.146713884120149,31.94558979408587,0.2807520550135123,1.2699305955,0.14644820702986427,0.99603,1.0903021259999996,1.6815489690717251,0.4286534602292425,2.9902756543424047,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험30_hidden-256-action-5-multiseed,7,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험30_hidden-256-action-5-multiseed/seed-7_val2025
89,0.3202321200000002,2.1160326538166485,0.0401613387807299,89.18311067547042,0.10168828238415908,0.41385015,0.10075260760720761,0.999,-0.2785066324999994,-0.3184190506675964,0.4582164762798172,175.63124646953224,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험30_hidden-256-action-5-multiseed,21,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험30_hidden-256-action-5-multiseed/seed-21_val2023
23,0.0505862285,0.6293202980827096,0.0515446054240339,53.24972889672134,0.09732824257651433,-0.3176489710000001,0.4290804340250082,0.99314,0.3197967914999993,1.2759687928184578,0.0934269162688026,64.65009495533839,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험30_hidden-256-action-5-multiseed,21,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험30_hidden-256-action-5-multiseed/seed-21_val2024
22,1.3024812915000004,2.963287663818641,0.114595335206652,44.52417759999979,0.26472340916200937,1.2699305955,0.14644820702986427,0.99603,0.7418351454999998,1.6477778815255115,0.334170311994019,27.53961444075977,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험30_hidden-256-action-5-multiseed,21,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험30_hidden-256-action-5-multiseed/seed-21_val2025
42,0.4630490454999998,2.0767911715901435,0.0887695744622891,31.968528268519247,0.09616212677933304,0.41385015,0.10075260760720761,0.999,0.4304631024999998,0.5808995510888553,0.4314279102105347,83.61135066560867,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험30_hidden-256-action-5-multiseed,42,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험30_hidden-256-action-5-multiseed/seed-42_val2023
