episode,environment_steps,learning_steps,epsilon,mean_loss,train_return,validation_return,validation_mdd,selection_value,best_episode
1,1093,838,0.43239347672187917,2.3853057552725206e-05,-0.3229732634999989,0.1874487279999988,0.1316263336831992,0.1874487279999988,1
2,2186,1931,0.14486309656989407,1.9139086484710497e-05,0.2734374849999994,0.10972549599999981,0.10194674519270974,0.10972549599999981,1
3,3279,3024,0.05,2.0158599450844932e-05,2.76438258125,-0.05844270850000033,0.18707116666352097,-0.05844270850000033,1
4,4372,4117,0.05,2.0618485172200573e-05,7.635567885499986,-0.0576460839999996,0.2105500007021287,-0.0576460839999996,1
5,5465,5210,0.05,1.698134635190688e-05,10.772974917500004,-0.07271577900000015,0.1853200949491952,-0.07271577900000015,1
6,6558,6303,0.05,1.747406126786736e-05,16.358485364000007,-0.10633672099999991,0.21970060922024215,-0.10633672099999991,1
7,7651,7396,0.05,1.6013855193569606e-05,27.161117351500003,-0.09567259100000003,0.2246945503312755,-0.09567259100000003,1
8,8744,8489,0.05,1.5087248626699066e-05,36.42371509849997,-0.13154590450000092,0.24535074316468486,-0.13154590450000092,1
9,9837,9582,0.05,1.8986722627785187e-05,40.183261979249984,-0.07318517749999964,0.22300573323116546,-0.07318517749999964,1
10,10930,10675,0.05,1.784214398406346e-05,43.438335230000035,-0.0317682849999994,0.1691713867505441,-0.0317682849999994,1
11,12023,11768,0.05,1.7588695808221416e-05,53.15918869499999,-0.06250276199999938,0.16105435781639743,-0.06250276199999938,1
12,13116,12861,0.05,1.6781713067020416e-05,52.03973160275,-0.16480533800000075,0.2638202612141721,-0.16480533800000075,1
13,14209,13954,0.05,1.732541988476092e-05,56.43498179899999,-0.04716199649999997,0.1648259208750853,-0.04716199649999997,1
14,15302,15047,0.05,1.8749504835691113e-05,81.04901524750001,0.05093799899999896,0.1639659839727119,0.05093799899999896,1
15,16395,16140,0.05,1.826707217567678e-05,68.84197055124999,-0.03435234549999944,0.15435613674902027,-0.03435234549999944,1
16,17488,17233,0.05,1.8050771375742596e-05,84.40752151974993,0.06368116799999912,0.14231432824547097,0.06368116799999912,1
17,18581,18326,0.05,1.6110022674498248e-05,88.78886284549996,0.010130545499999588,0.12378950965575997,0.010130545499999588,1
18,19674,19419,0.05,1.6797228378241427e-05,98.30059600550001,0.07745683549999982,0.11924016177036056,0.07745683549999982,1
19,20767,20512,0.05,1.6876554417510496e-05,99.14012510774998,0.060886107999999606,0.06221080635761311,0.060886107999999606,1
20,21860,21605,0.05,1.816152829698115e-05,99.11242772674997,0.08879799000000022,0.07959094310376291,0.08879799000000022,1
21,22953,22698,0.05,1.6160404314070526e-05,114.32207690124993,0.044325175499998926,0.12794408116229594,0.044325175499998926,1
22,24046,23791,0.05,1.5052784370103784e-05,120.05785795425003,0.1273295554999998,0.10167545111100773,0.1273295554999998,1
23,25139,24884,0.05,1.5194865308724505e-05,159.7978738042501,0.1544088364999998,0.12979430516870638,0.1544088364999998,1
24,26232,25977,0.05,1.4929160256180705e-05,139.99920024550002,0.006059272499999713,0.19391370237037242,0.006059272499999713,1
25,27325,27070,0.05,1.813169731760532e-05,114.239064346,0.029177052999999287,0.1510483143224164,0.029177052999999287,1
26,28418,28163,0.05,1.5807426954150582e-05,161.27963123525,0.07214040600000016,0.20963717385427028,0.07214040600000016,1
27,29511,29256,0.05,1.576387069328964e-05,141.73476490924998,0.02575796499999905,0.1593429462534467,0.02575796499999905,1
28,30604,30349,0.05,1.4011625329798067e-05,192.01176582650012,0.09019577849999938,0.13375118825732957,0.09019577849999938,1
29,31697,31442,0.05,1.472980862955058e-05,166.50913008524986,0.10437628399999976,0.14604633062714933,0.10437628399999976,1
30,32790,32535,0.05,1.7049740430242223e-05,189.21174889049996,0.10278659649999922,0.12801771087075087,0.10278659649999922,1
31,33883,33628,0.05,1.6165155297524283e-05,174.73459577125,0.026370872999999406,0.18547413185475903,0.026370872999999406,1
32,34976,34721,0.05,1.4501426888028633e-05,186.03415491375006,0.09652100600000013,0.20678570592222,0.09652100600000013,1
33,36069,35814,0.05,1.3735491306311767e-05,181.26763312424993,0.17185144699999944,0.12192518182304224,0.17185144699999944,1
34,37162,36907,0.05,1.5362701148455864e-05,173.80184026274995,-0.03501170799999964,0.23197441511789685,-0.03501170799999964,1
35,38255,38000,0.05,1.5079345078111487e-05,176.01597912924996,0.04282251499999856,0.2197870514929634,0.04282251499999856,1
36,39348,39093,0.05,1.8022657228629373e-05,179.85554651875006,0.07731689499999916,0.2278842685931306,0.07731689499999916,1
37,40441,40186,0.05,1.5496102340512318e-05,242.93787518425006,0.16479841550000018,0.10318242187074522,0.16479841550000018,1
38,41534,41279,0.05,1.4321082147846895e-05,216.20553757674995,0.14376218749999925,0.12342280181689624,0.14376218749999925,1
39,42627,42372,0.05,1.3742416510595738e-05,216.2361119,0.2069982684999998,0.12968037365436902,0.2069982684999998,39
40,43720,43465,0.05,1.4355673327215373e-05,246.42938909299988,0.051815775999999314,0.20342388804131983,0.051815775999999314,39
41,44813,44558,0.05,1.7047841916531643e-05,262.22074957799987,0.06653083950000038,0.1473096476285416,0.06653083950000038,39
42,45906,45651,0.05,1.552158225510937e-05,248.09228166349982,0.0255786960000004,0.1591321353231273,0.0255786960000004,39
43,46999,46744,0.05,1.312293929358289e-05,280.28671398449995,0.10329603349999905,0.16657448891096138,0.10329603349999905,39
44,48092,47837,0.05,1.3692702148064441e-05,241.7529586919999,0.08599495049999906,0.17813303851704365,0.08599495049999906,39
45,49185,48930,0.05,1.3468013748759285e-05,212.6879569730001,0.03468844149999928,0.1828488565001536,0.03468844149999928,39
46,50278,50023,0.05,1.5099280335749295e-05,253.5350556727499,0.12533390250000043,0.17080625038047315,0.12533390250000043,39
47,51371,51116,0.05,1.5461694016385007e-05,244.2542787340001,0.06853203450000023,0.21181223177803443,0.06853203450000023,39
48,52464,52209,0.05,1.3613263476655303e-05,299.4857709219998,0.030245666999999532,0.18606915504065413,0.030245666999999532,39
49,53557,53302,0.05,1.3712876634428943e-05,269.2255070989999,0.2135833304999999,0.12221611873852345,0.2135833304999999,49
50,54650,54395,0.05,1.2436687292079185e-05,240.61243085050015,0.20865897599999905,0.11680617382280056,0.20865897599999905,49
51,55743,55488,0.05,1.2968790875851447e-05,256.1165247752501,0.03334830599999816,0.23023705078029433,0.03334830599999816,49
52,56836,56581,0.05,1.6329534049913415e-05,211.55938442574998,0.14862384149999897,0.17731543585108012,0.14862384149999897,49
53,57929,57674,0.05,1.3581834426156849e-05,253.78306185900001,0.2266790085000001,0.1066093360369782,0.2266790085000001,53
54,59022,58767,0.05,1.335221298126028e-05,249.96328090924996,0.24244264549999883,0.10892926076341303,0.24244264549999883,54
55,60115,59860,0.05,1.3353677215411306e-05,295.4480477847502,0.2725766980000004,0.09941154531980056,0.2725766980000004,55
56,61208,60953,0.05,1.2216885749057089e-05,269.0553806195003,0.21346041099999957,0.11751827403166804,0.21346041099999957,55
57,62301,62046,0.05,1.5271866607766474e-05,277.1480612282501,0.27427479199999927,0.07414922229733978,0.27427479199999927,57
58,63394,63139,0.05,1.3285490912097508e-05,255.58472756900005,0.20035242450000013,0.09646093418145185,0.20035242450000013,57
59,64487,64232,0.05,1.290944478854142e-05,259.87420997,0.17674592549999968,0.10279496784974207,0.17674592549999968,57
60,65580,65325,0.05,1.1871757218471098e-05,237.03236308225007,0.27199232650000016,0.10018596678239289,0.27199232650000016,57
61,66673,66418,0.05,1.1972699065937316e-05,296.746297071,0.22098280249999958,0.08194427600258725,0.22098280249999958,57
62,67766,67511,0.05,1.2583410969930278e-05,251.47234336499997,0.23791750050000005,0.1208936997158887,0.23791750050000005,57
63,68859,68604,0.05,1.4026542223461222e-05,253.50544367574977,0.13300632149999925,0.11087196449787595,0.13300632149999925,57
64,69952,69697,0.05,1.2062051708890334e-05,278.94434780075005,0.19259269599999995,0.13586800411846467,0.19259269599999995,57
65,71045,70790,0.05,1.1587517703312824e-05,286.30264523075016,0.19696016349999868,0.13403862533222122,0.19696016349999868,57
66,72138,71883,0.05,1.1634367700276369e-05,337.77774004150007,0.23374442450000021,0.11569336908731365,0.23374442450000021,57
67,73231,72976,0.05,1.0991881311812991e-05,257.14443615499977,0.23064189249999978,0.10955021542313481,0.23064189249999978,57
68,74324,74069,0.05,1.4578163769584425e-05,297.2322304195,0.30414484649999896,0.10349672107130214,0.30414484649999896,68
69,75417,75162,0.05,1.1994416751270857e-05,310.3169099460001,0.10490108899999995,0.1183766577102654,0.10490108899999995,68
70,76510,76255,0.05,1.1369367910843264e-05,320.27882283400004,0.08836395399999963,0.153823362052378,0.08836395399999963,68
71,77603,77348,0.05,1.1356915831656857e-05,318.76019300625006,0.31137618450000026,0.12491990864301006,0.31137618450000026,71
72,78696,78441,0.05,1.1705199331546446e-05,306.312147206,0.1294869044999991,0.12111243473117683,0.1294869044999991,71
73,79789,79534,0.05,1.397522630930505e-05,343.58893688375014,0.1981598594999996,0.10389441118316944,0.1981598594999996,71
74,80882,80627,0.05,1.4741776253860854e-05,283.23942506824994,0.23217163449999978,0.07892846588426783,0.23217163449999978,71
75,81975,81720,0.05,1.2671277236686422e-05,270.84499984125,0.09401881949999913,0.10980909418749718,0.09401881949999913,71
76,83068,82813,0.05,1.1798015831565233e-05,256.3697174779999,0.18963535300000078,0.0988499149445543,0.18963535300000078,71
77,84161,83906,0.05,1.1562579338203548e-05,300.1274639850002,0.13966470999999991,0.11570607538016264,0.13966470999999991,71
78,85254,84999,0.05,1.1086913129049643e-05,322.15991254224997,0.023165211500000504,0.1464178687026657,0.023165211500000504,71
79,86347,86092,0.05,1.5312532328147476e-05,272.02434469300016,0.1424326789999999,0.08726754294443928,0.1424326789999999,71
80,87440,87185,0.05,1.1871466392354225e-05,275.2985599779999,0.1826631174999993,0.09868359418043482,0.1826631174999993,71
81,88533,88278,0.05,1.1161157933026473e-05,289.664870977,0.0875018549999993,0.10600056647150469,0.0875018549999993,71
82,89626,89371,0.05,1.1080067977565684e-05,293.25520900925005,0.013453552500000132,0.1313549926078409,0.013453552500000132,71
83,90719,90464,0.05,1.0729903658650918e-05,324.7938004535,0.12787493149999873,0.09183876652098277,0.12787493149999873,71
84,91812,91557,0.05,1.3659858612171868e-05,250.97480871300002,0.1426789439999998,0.09928228482247692,0.1426789439999998,71
85,92905,92650,0.05,1.2314014400919973e-05,299.4418845677498,0.21565401449999966,0.07162444164162729,0.21565401449999966,71
86,93998,93743,0.05,1.128160828644944e-05,305.6982217995001,0.054537694000000636,0.12885276274611412,0.054537694000000636,71
87,95091,94836,0.05,1.1351762120069448e-05,315.3084258725,0.28309886999999945,0.06354983207927167,0.28309886999999945,71
88,96184,95929,0.05,1.0961305812002832e-05,308.20671522775024,0.2003701925000001,0.0667332457184523,0.2003701925000001,71
89,97277,97022,0.05,1.2264991423956159e-05,336.3740344440001,0.10944957200000038,0.11234213105134017,0.10944957200000038,71
90,98370,98115,0.05,1.24921567601042e-05,308.3313626469999,0.16982428399999971,0.08399784923136566,0.16982428399999971,71
91,99463,99208,0.05,1.1621319262220792e-05,283.3405552037498,0.1935611429999997,0.07656819130447423,0.1935611429999997,71
92,100556,100301,0.05,1.0382077212405216e-05,309.7512855414999,0.17660407599999983,0.09266563137386319,0.17660407599999983,71
93,101649,101394,0.05,1.0590881622707757e-05,283.54786910099995,0.18548186800000055,0.08919317722743036,0.18548186800000055,71
94,102742,102487,0.05,1.0776263978944813e-05,341.97663957375016,0.1561755324999996,0.1105347402672926,0.1561755324999996,71
95,103835,103580,0.05,1.353795296919327e-05,289.7039859445002,0.21594310850000054,0.08773744337054379,0.21594310850000054,71
96,104928,104673,0.05,1.0565585954273405e-05,333.5491851472498,0.20671269800000025,0.08252493917703885,0.20671269800000025,71
97,106021,105766,0.05,1.053717577401972e-05,279.1580815737501,0.11449953149999947,0.08019355953324392,0.11449953149999947,71
98,107114,106859,0.05,1.0533171609492273e-05,344.02548616600006,0.18115369799999903,0.08842056817452493,0.18115369799999903,71
99,108207,107952,0.05,1.0144197327930834e-05,372.68534999025,0.06267700399999998,0.1466089820809635,0.06267700399999998,71
100,109300,109045,0.05,1.2411361077666155e-05,317.10864182100005,0.13360560100000063,0.11150311870810992,0.13360560100000063,71
