episode,environment_steps,learning_steps,epsilon,mean_loss,train_return,selection_value,best_episode,validation_cumulative_return,validation_mdd,validation_sharpe_ratio,validation_sortino_ratio,validation_trade_count,validation_turnover,validation_initial_asset,validation_final_asset,validation_steps,validation_average_holding_days,validation_closed_shares,validation_open_shares
1,1093,838,0.43239347672187917,2.892053355057766e-05,-0.6952375442500001,-0.1451864254999995,1,-0.1451864254999995,0.17595436999999947,-1.3319155317084832,-1.7224557251104857,86,85.66651250057771,10000000.0,8548135.745000005,245,1.6649638893781926,5677,0
2,2186,1931,0.14486309656989407,2.5262002164914505e-05,0.8027545872499979,0.039652962000000125,2,0.039652962000000125,0.18060942219425946,0.3596388656574166,0.5395379196828098,113,111.65517715970665,10000000.0,10396529.620000001,245,2.2652713001933797,8791,0
3,3279,3024,0.05,3.070472369148864e-05,9.7727736285,0.0629095525000003,3,0.0629095525000003,0.08730573305729972,0.771911348051341,1.1631872869038855,64,63.81192559114669,10000000.0,10629095.525000002,245,1.4641941211284277,5069,0
4,4372,4117,0.05,3.413812176471863e-05,15.961398091749992,0.2765650045000001,4,0.2765650045000001,0.12299195695743104,1.5907223630720162,2.7530458074215263,96,95.72234483564704,10000000.0,12765650.045,245,2.377706016026791,8361,0
5,5465,5210,0.05,3.1467958480842345e-05,31.142862350749986,0.017246815999999887,4,0.017246815999999887,0.17050940383905933,0.2109289421582314,0.30879870692653155,76,75.77999684087538,10000000.0,10172468.159999998,245,1.5078281145902732,6004,0
6,6558,6303,0.05,3.1498387178804814e-05,31.710628321500018,0.20210838949999999,4,0.20210838949999999,0.12867276578422615,1.4810510352414776,2.6174724810344623,94,93.72359325132088,10000000.0,12021083.895,245,2.019502868068834,7845,0
7,7651,7396,0.05,2.9876391182292457e-05,52.204931663249965,0.1973601729999992,4,0.1973601729999992,0.13636202072918568,1.377752917904447,2.3336720711714025,80,79.80415712421018,10000000.0,11973601.729999993,245,2.523816701839011,6634,0
8,8744,8489,0.05,3.0165650127876572e-05,47.89301571749999,0.12293082549999879,4,0.12293082549999879,0.10596134139807223,1.002476588349246,1.592800112634202,98,97.63490686576134,10000000.0,11229308.254999988,245,1.8456227201667534,7676,0
9,9837,9582,0.05,3.826865821113202e-05,55.59070870975,0.058322045999999794,4,0.058322045999999794,0.13914992975839202,0.562881929863725,0.8366914913258084,95,94.66603208066729,10000000.0,10583220.459999999,245,1.5661944974121493,7342,134
10,10930,10675,0.05,3.9294089763548706e-05,77.7914068105,0.05011470550000019,4,0.05011470550000019,0.03928966192732197,0.7153711495326536,1.0104428117628719,52,51.822432486094456,10000000.0,10501147.055000002,245,1.1923765668969046,3909,0
11,12023,11768,0.05,3.8009359766372104e-05,75.37109424199996,0.1355001309999999,4,0.1355001309999999,0.12574003522094845,1.1244945857350714,1.8061842529868324,114,113.6193472346472,10000000.0,11355001.309999999,245,1.688147557782079,8783,0
12,13116,12861,0.05,3.741729412159263e-05,83.59336483175004,0.16186379349999958,4,0.16186379349999958,0.13510678408143728,1.288041401375871,2.253230347334724,109,108.64540951818901,10000000.0,11618637.934999995,245,1.8013843920955677,8957,148
13,14209,13954,0.05,3.662759345163953e-05,105.84572844249998,0.1599044494999997,4,0.1599044494999997,0.1732852523395002,1.2792859322890386,2.319046769749317,102,101.67073043004407,10000000.0,11599044.494999997,245,1.9329977226417356,8343,0
14,15302,15047,0.05,4.0776932575585186e-05,113.64464057650012,0.14169264199999954,4,0.14169264199999954,0.1655019119761757,1.0329848602914604,1.6955547224864238,109,107.66811941997568,10000000.0,11416926.419999996,245,2.122541603630862,8593,0
15,16395,16140,0.05,3.873036965531402e-05,87.99140885250002,0.22069450199999974,4,0.22069450199999974,0.11079431403446116,1.6164995458694862,2.8432812599273967,108,107.66219304858674,10000000.0,12206945.019999998,245,2.2331570475971487,8698,0
16,17488,17233,0.05,3.674882153567921e-05,84.88501104125002,0.06103246050000011,4,0.06103246050000011,0.17253120435194047,0.4929383312366713,0.7982887191417337,106,105.66829374167449,10000000.0,10610324.605,245,2.2713216957605984,8020,0
17,18581,18326,0.05,3.4937384413043594e-05,126.33873524525006,0.18247543050000026,4,0.18247543050000026,0.1479875297340566,1.3546012170538109,2.4134137782485436,100,99.68220124501997,10000000.0,11824754.305000002,245,1.9930043245993385,7862,0
18,19674,19419,0.05,3.36229309686376e-05,128.42711450800005,0.002915691000000109,4,0.002915691000000109,0.16550382025870303,0.08431107411211863,0.13242028772222295,105,103.67323564840265,10000000.0,10029156.910000002,245,1.70002679528403,7464,0
19,20767,20512,0.05,3.6649196477504406e-05,114.60240690399998,0.10524625500000018,4,0.10524625500000018,0.11871003148956072,1.0703262151536053,1.755213438918615,92,91.64455713841139,10000000.0,11052462.550000003,245,1.5592282381094824,6686,0
20,21860,21605,0.05,4.05340008728339e-05,102.78648432424994,0.06948668549999937,4,0.06948668549999937,0.14844243371164245,0.5886853721775397,0.9214903327453491,114,113.6170051082198,10000000.0,10694866.854999993,245,2.073691705233179,8427,0
21,22953,22698,0.05,3.683461471051988e-05,86.93168554099994,-0.0017962349999999239,4,-0.0017962349999999239,0.19228872298673516,0.05469697517799794,0.08534876547814163,110,109.62638013272179,10000000.0,9982037.65,245,2.3311216825237855,7988,0
22,24046,23791,0.05,3.5695705562826646e-05,103.01222035799996,0.019611543500000383,4,0.019611543500000383,0.14383382074767537,0.22519150372359664,0.3455728437846114,109,107.6114817894426,10000000.0,10196115.435000004,245,1.8547031003678403,7612,0
23,25139,24884,0.05,3.5656970523186473e-05,94.55882231499993,0.03436683249999928,4,0.03436683249999928,0.16479912134090557,0.34108621396216043,0.5461597415110715,112,111.58066777942837,10000000.0,10343668.324999994,245,1.8469673027835176,8227,0
24,26232,25977,0.05,3.474476602334701e-05,100.22580122300002,0.08824653299999952,4,0.08824653299999952,0.10548027335900345,0.7751367427786222,1.254606679293563,99,98.64265625836111,10000000.0,10882465.329999994,245,1.8560906515580737,7060,138
25,27325,27070,0.05,4.378294142653095e-05,80.06188821850003,0.15878253750000026,4,0.15878253750000026,0.12696454312933791,1.055324759110718,1.7697758881946555,105,104.7122530472598,10000000.0,11587825.375000002,245,2.572382803011902,8234,147
26,28418,28163,0.05,3.793923488862324e-05,105.22433245325004,-0.07925630050000043,4,-0.07925630050000043,0.16277256903466697,-0.5950825932370107,-0.8862882637322915,101,100.66428403618502,10000000.0,9207436.994999995,245,1.8403735632183909,6960,117
27,29511,29256,0.05,3.3828865343904445e-05,95.53440364124998,0.001986693000000095,4,0.001986693000000095,0.13906147728813167,0.0832352769523492,0.1317167753691213,105,104.6187324193219,10000000.0,10019866.930000002,245,1.8058891902363425,7743,127
28,30604,30349,0.05,3.390583778354786e-05,86.17199326799998,0.043578158499999686,4,0.043578158499999686,0.15514879594621334,0.3654889259068478,0.5725452615104731,124,123.53932382967983,10000000.0,10435781.584999997,245,1.9198648059310945,9172,0
29,31697,31442,0.05,3.4233698203900067e-05,123.89499172600003,-0.021811480000000216,4,-0.021811480000000216,0.1602692204831605,-0.0846997645207477,-0.12272860074754804,108,106.6092162692848,10000000.0,9781885.199999997,245,1.8788315430966729,7634,124
30,32790,32535,0.05,4.127946826692614e-05,77.73415209899999,0.11827168500000007,4,0.11827168500000007,0.08446254485603988,0.9644604083825016,1.7556112198270006,86,85.73827962652611,10000000.0,11182716.85,245,1.52018779342723,6390,0
31,33883,33628,0.05,4.0155383964002395e-05,84.29210072649998,-0.10370977599999964,4,-0.10370977599999964,0.1533693853978887,-0.871656051387207,-1.203116306033231,101,100.6032256334713,10000000.0,8962902.240000004,245,1.6505256922849103,6753,114
32,34976,34721,0.05,3.627444882145648e-05,83.27299026800004,-0.12727622500000002,4,-0.12727622500000002,0.1996735272169572,-1.1683284230113198,-1.5684298754025572,88,87.63940763219412,10000000.0,8727237.75,245,1.6166724799441925,5734,0
33,36069,35814,0.05,3.323869857137035e-05,116.67353132275007,0.1450760000000011,4,0.1450760000000011,0.048924431475870334,1.0797970981101244,1.9282543902526383,100,99.6767297084385,10000000.0,11450760.000000011,245,1.7319138019497178,7796,0
34,37162,36907,0.05,3.477953498313432e-05,83.74001776849995,0.02605161999999983,4,0.02605161999999983,0.08623312927323445,0.2716931889030524,0.4637554999753157,100,99.60688869669681,10000000.0,10260516.2,245,1.4323379069141782,7434,0
35,38255,38000,0.05,3.436712213259597e-05,110.21724968824995,0.16911561600000002,4,0.16911561600000002,0.08337590933055294,1.2124289755888393,2.2171513197494175,112,111.69372657169453,10000000.0,11691156.16,245,1.552340520612222,8951,0
36,39348,39093,0.05,4.3915071931857025e-05,111.17737048200004,0.00042588550000033365,4,0.00042588550000033365,0.07596453611346754,0.05799369779752524,0.09675953626640092,76,75.69565647289376,10000000.0,10004258.855000002,245,1.3364469510045822,5674,0
37,40441,40186,0.05,3.513795932575365e-05,98.73953347424997,0.1373048194999993,4,0.1373048194999993,0.11338449831013275,1.1598792057948235,2.061949864542027,87,86.66598296466344,10000000.0,11373048.194999993,245,1.6267792898482716,6393,144
