episode,environment_steps,learning_steps,epsilon,mean_loss,train_return,selection_value,best_episode,validation_cumulative_return,validation_mdd,validation_sharpe_ratio,validation_sortino_ratio,validation_trade_count,validation_turnover,validation_initial_asset,validation_final_asset,validation_steps,validation_average_holding_days,validation_closed_shares,validation_open_shares
1,1093,838,0.43239347672187917,1.741027416748372e-05,-0.25214815624999987,0.14868476249999962,1,0.14868476249999962,0.1261456967836938,1.009025159646502,1.5737290042725804,172,81.69051153613775,10000000.0,11486847.624999996,245,3.9847457627118645,6490,110
2,2186,1931,0.14486309656989407,1.5161169503382856e-05,0.2693588649999994,0.11387433550000003,1,0.11387433550000003,0.08135588841021923,0.8953506348596193,1.590208847111802,177,86.3486649308701,10000000.0,11138743.355,245,2.8252384446074834,6815,0
3,3279,3024,0.05,1.7350855285812332e-05,1.8689411699999963,0.14112008399999976,1,0.14112008399999976,0.11445500782108686,0.8849884778805716,1.4208188747997563,157,76.840802942947,10000000.0,11411200.839999998,245,4.663443596268023,5895,145
4,4372,4117,0.05,1.964051390558266e-05,4.886041742249995,-0.05357297799999905,1,-0.05357297799999905,0.1583185935169925,-0.5949465842174523,-0.8519291847862609,145,78.44717643905352,10000000.0,9464270.22000001,245,1.7762275774596847,5519,90
5,5465,5210,0.05,1.7374175062393177e-05,7.632701320750005,0.12522451049999894,1,0.12522451049999894,0.07393037157296323,1.038223696515252,1.9186537249169002,189,87.54015062791535,10000000.0,11252245.10499999,245,2.461312150632539,6798,107
6,6558,6303,0.05,1.854852345769165e-05,13.771424587000004,0.14406505999999974,1,0.14406505999999974,0.09478040694636769,1.133939206728777,1.9258877800338203,182,93.3270502477275,10000000.0,11440650.599999998,245,2.522727272727273,7568,145
7,7651,7396,0.05,2.123755725113724e-05,14.506704235000006,0.033131126999999205,1,0.033131126999999205,0.11194849066912183,0.3254955469364998,0.49748559427406547,172,99.4675516605621,10000000.0,10331311.269999992,245,2.239973351099267,7505,98
8,8744,8489,0.05,2.2375785917058092e-05,16.323891919749986,0.06084576949999998,1,0.06084576949999998,0.10901694695676045,0.5263247091938988,0.771208965321125,179,99.71169398543375,10000000.0,10608457.695,245,2.445017864231838,7557,135
9,9837,9582,0.05,2.788093168882089e-05,20.621946448250007,-0.026763258999999207,1,-0.026763258999999207,0.1292150550780432,-0.2584123766369076,-0.36406006673626157,122,78.24942862260953,10000000.0,9732367.410000008,245,1.493138787562967,5757,0
10,10930,10675,0.05,2.7910061395774866e-05,22.76421504175002,-0.08324833200000037,1,-0.08324833200000037,0.21420343842352096,-0.6787582929309298,-0.967939199903709,202,99.1899514402609,10000000.0,9167516.679999996,245,2.6248936773461864,7054,58
