episode,environment_steps,learning_steps,epsilon,mean_loss,train_return,selection_value,best_episode,validation_cumulative_return,validation_mdd,validation_sharpe_ratio,validation_sortino_ratio,validation_trade_count,validation_turnover,validation_initial_asset,validation_final_asset,validation_steps,validation_average_holding_days,validation_closed_shares,validation_open_shares
1,1093,838,0.43239347672187917,8.567320781547179e-05,-0.20893493825000076,0.19468947800000014,1,0.19468947800000014,0.07735465144196274,1.4482334551926683,2.543056359146356,232,83.17809099275182,10000000.0,11946894.780000001,245,3.3279816513761467,6976,129
2,2186,1931,0.14486309656989407,2.7971277820350056e-05,-0.02274476525000002,0.0034962389999999566,1,0.0034962389999999566,0.1512200284854105,0.08913334871097929,0.1374186752528155,219,76.32522328266342,10000000.0,10034962.39,245,2.700507614213198,5910,19
3,3279,3024,0.05,3.047812924997033e-05,0.36797099824999924,-0.04870989850000018,1,-0.04870989850000018,0.09876958884785092,-0.5454583653934055,-0.7953937351605124,197,65.04897244644195,10000000.0,9512901.014999999,245,1.8107235142118863,4644,0
4,4372,4117,0.05,3.0484454416580995e-05,0.4352816937500019,0.19460625350000016,1,0.19460625350000016,0.10699713373438968,1.3565485039472152,2.315606016211517,193,77.05711318076885,10000000.0,11946062.535000002,245,3.9756248071582845,6482,91
5,5465,5210,0.05,3.349841640593851e-05,0.8415101597499968,0.10951026849999979,1,0.10951026849999979,0.08953178909678483,0.9236619591039612,1.5226192276404396,202,67.35512000964658,10000000.0,11095102.684999999,245,3.569313593539704,5201,0
6,6558,6303,0.05,3.5998771465099624e-05,1.5473090502500026,0.07566446049999964,1,0.07566446049999964,0.14261562047177312,0.6215958230871235,0.9989406864335565,194,89.29828241485708,10000000.0,10756644.604999997,245,3.1231126596980254,6888,62
7,7651,7396,0.05,3.7688873869810345e-05,1.241662048000002,0.11892347799999903,1,0.11892347799999903,0.08501050125070708,1.0652635673106439,1.9246153915594466,205,86.75084582788514,10000000.0,11189234.77999999,245,2.016008537886873,6559,121
8,8744,8489,0.05,4.129374271782953e-05,1.3917334814999975,0.04611952999999969,1,0.04611952999999969,0.06594913932513413,0.5645671062030859,0.8732008716662023,169,67.4720123960503,10000000.0,10461195.299999997,245,2.5254270567445514,5093,40
9,9837,9582,0.05,5.3138377553218485e-05,1.333332209749999,0.021587379500000337,1,0.021587379500000337,0.11676012169028982,0.2454039125537869,0.40794070922683673,203,87.33898830868716,10000000.0,10215873.795000004,245,2.2481435643564356,6464,13
10,10930,10675,0.05,5.2766957527760866e-05,1.1274635567500013,0.16899801800000014,1,0.16899801800000014,0.11074821805327095,1.1045894821832765,1.9100058464352982,188,88.0248038979285,10000000.0,11689980.180000002,245,3.5979119638826185,7088,45
11,12023,11768,0.05,5.369061727167782e-05,1.3092329882500024,0.009677148500000232,1,0.009677148500000232,0.14271472921437567,0.1524309696832177,0.23499271125352864,179,82.32996311776347,10000000.0,10096771.485000003,245,2.04903563255966,6118,0
12,13116,12861,0.05,5.552980267159553e-05,2.291198916249999,0.06987958399999972,1,0.06987958399999972,0.08840312154337993,0.6268181993332343,1.0565773860024432,209,67.79298414270185,10000000.0,10698795.839999998,245,3.44663030775224,5134,68
13,14209,13954,0.05,6.222012797174309e-05,2.45330866325,0.05010236050000039,1,0.05010236050000039,0.07533608628727506,0.6604163840342603,1.0508626020171474,194,60.17048418304098,10000000.0,10501023.605000004,245,2.568678915135608,4572,47
14,15302,15047,0.05,7.543012678349816e-05,3.2296090687499968,0.2837620009999997,14,0.2837620009999997,0.09250918160361454,1.6232817495645888,2.7197612701016345,82,8.370849138792728,10000000.0,12837620.009999998,245,44.54237288135593,649,131
15,16395,16140,0.05,7.97641771098459e-05,2.7356742055000045,0.14273788850000013,14,0.14273788850000013,0.0688949445804714,1.408625875673819,2.329418008296938,202,39.46630779271739,10000000.0,11427378.885000002,245,5.823133611022108,3121,87
16,17488,17233,0.05,7.773061369511994e-05,2.6604523314999997,0.0926817049999995,14,0.0926817049999995,0.10236761558073126,0.8710685733758063,1.4599124566131494,197,76.8787787576712,10000000.0,10926817.049999995,245,2.713168187744459,6136,42
17,18581,18326,0.05,7.718077876469507e-05,1.8210056792499998,0.17291750600000033,14,0.17291750600000033,0.07069956682831369,1.5017190364765338,2.726587662129382,208,73.3212350226643,10000000.0,11729175.060000002,245,2.9226795534077654,6001,60
18,19674,19419,0.05,8.454310647832788e-05,1.9050852899999993,0.042567445500000245,14,0.042567445500000245,0.12996659186678183,0.4168472726330917,0.7319044639037092,207,76.6494114663691,10000000.0,10425674.455000002,245,2.6096050870147254,5976,40
19,20767,20512,0.05,9.479626791113367e-05,2.450250054999996,0.03412708699999967,14,0.03412708699999967,0.04919726515975553,0.5600945389189348,0.8382458401161305,171,26.638561966493004,10000000.0,10341270.869999997,245,4.775197628458498,2024,19
20,21860,21605,0.05,0.00012032134423480756,2.642302720250003,0.10254145799999992,14,0.10254145799999992,0.10124586764569532,0.8881098640912037,1.5633715953045368,206,57.171337165753805,10000000.0,11025414.579999998,245,4.223189734188818,4364,70
21,22953,22698,0.05,0.00010303410819699646,1.0977951770000005,-0.015821249499999968,14,-0.015821249499999968,0.09570270294014449,-0.06372760458709599,-0.0987863372641522,193,99.1215569905493,10000000.0,9841787.505,245,2.1654196707930895,7351,119
22,24046,23791,0.05,0.00010377287912035367,1.3929936090000012,0.026924775500000164,14,0.026924775500000164,0.09315929969706116,0.2823057100452692,0.46359506673957684,228,82.05471373101798,10000000.0,10269247.755,245,2.824156014421501,6102,52
23,25139,24884,0.05,0.00010503786851131319,1.120579156499999,0.027153677499999418,14,0.027153677499999418,0.09033298227163677,0.28946353027733396,0.4832479257042829,214,64.6584746760768,10000000.0,10271536.774999995,245,3.4609943831911796,4807,26
24,26232,25977,0.05,0.00011376661363748828,1.0075637454999988,0.03256276350000098,14,0.03256276350000098,0.09358423846941843,0.30976021771343015,0.4954701728471417,209,82.21137377352707,10000000.0,10325627.63500001,245,2.9240219851277076,6186,52
25,27325,27070,0.05,0.00013267646905928452,1.1656577174999998,0.07824293750000044,14,0.07824293750000044,0.0974153204153243,0.693057561634366,1.162298775466829,176,79.29292165003275,10000000.0,10782429.375000004,245,2.5937966495272846,6029,123
26,28418,28163,0.05,0.00012802569896406732,1.1552485859999972,0.07217268300000113,14,0.07217268300000113,0.1020152117999964,0.578887045130698,1.0056288501218178,206,101.53291778929469,10000000.0,10721726.830000011,245,2.1222207604262597,7601,0
27,29511,29256,0.05,0.00012437500768521233,0.6966368167499997,0.13465423300000023,14,0.13465423300000023,0.05725549371694694,1.1772287151406837,2.327498153830981,202,61.79681122061757,10000000.0,11346542.330000002,245,2.9126254180602005,4784,43
28,30604,30349,0.05,0.0001295710556855709,1.0160179247500003,0.14432668250000025,14,0.14432668250000025,0.07412670618611927,1.2346272038808497,2.3323074854216292,211,65.35775318661838,10000000.0,11443266.825000003,245,3.1279721631548423,5173,44
29,31697,31442,0.05,0.00013131205776156028,1.4037884705000008,0.007432054999999993,14,0.007432054999999993,0.09059290070605075,0.12419508383833272,0.18711033256472695,214,80.89282901878158,10000000.0,10074320.549999999,245,2.325715253089555,5907,32
30,32790,32535,0.05,0.0001471346823470062,0.7757834084999979,0.15135054749999988,14,0.15135054749999988,0.07358039211975897,1.0399574408073495,1.692981164538568,175,86.50308854299554,10000000.0,11513505.474999998,245,3.4013761467889907,6976,103
31,33883,33628,0.05,0.0001492604610321861,1.2979085630000018,-0.12420591350000054,14,-0.12420591350000054,0.1434410450524486,-1.8881926831612579,-2.311788653089605,121,58.0508062712603,10000000.0,8757940.864999995,245,1.8035627135187897,4098,5
32,34976,34721,0.05,0.00014331166104637025,1.2018340597499968,0.10778248449999905,14,0.10778248449999905,0.08749506984974875,0.8831048945559344,1.6280865535912328,215,96.63013653686397,10000000.0,11077824.844999991,245,2.3480848861283645,7728,7
33,36069,35814,0.05,0.00013963415529665197,0.6020669044999982,-0.0004447285000004353,14,-0.0004447285000004353,0.15787845225601016,0.06108856335228306,0.09189017988200956,208,83.95800030190509,10000000.0,9995552.714999996,245,3.381713753492704,6442,114
34,37162,36907,0.05,0.00014594933708671911,0.565965923250001,0.0993380949999989,14,0.0993380949999989,0.0766433313925845,0.7559399129252948,1.3220125401260792,208,81.5991203794126,10000000.0,10993380.94999999,245,3.2536300505050506,6336,98
35,38255,38000,0.05,0.00014253564676847466,0.41202572974999896,0.03225572350000028,14,0.03225572350000028,0.12025860510315411,0.30632742773108124,0.5092666747369451,213,108.12363966148058,10000000.0,10322557.235000003,245,2.3192742129295842,8322,6
36,39348,39093,0.05,0.00019274741177160255,0.33155326349999914,0.23133759499999984,14,0.23133759499999984,0.04344541093527299,1.8454162140114632,3.523452332769293,184,36.00457065262091,10000000.0,12313375.95,245,6.8901437371663246,2922,63
37,40441,40186,0.05,0.00016132087469129604,0.4512421815000016,0.09290928549999955,14,0.09290928549999955,0.08740012089719584,0.7755692233067598,1.3387576776515704,212,70.84242863201263,10000000.0,10929092.854999995,245,3.4207540263543192,5464,139
38,41534,41279,0.05,0.00015260548242599997,0.31195804750000034,0.052161324000000286,14,0.052161324000000286,0.08832972838089204,0.5359028627217675,0.8173485441448,212,78.71376561852776,10000000.0,10521613.240000002,245,2.891526541378173,6066,67
39,42627,42372,0.05,0.0001480377252930708,-0.011153361000000861,-0.031557793999999806,14,-0.031557793999999806,0.20692921019550392,-0.18666988038462454,-0.27511182435411324,221,98.99993459458267,10000000.0,9684422.060000002,245,2.6845739538737745,7241,123
